ID,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,bedrooms
27782e14-6fb9-40d4-baae-2e7459e4c1d5,2.0,1.0,1.0,151,5.0,4.9,4.9,5.0,5.0,4.9,52.0,1.0
ed0e0b32-a927-4515-bf05-2db22549a819,4.0,2.0,1.0,149,5.0,5.0,5.0,5.0,5.0,4.8,34.0,1.0
d316a3e3-5ec5-4294-a7af-5169fc02b441,6.0,2.0,1.0,249,4.6,4.8,4.9,4.8,5.0,4.6,33.0,1.0
75ff98ca-9fab-4fa1-b95d-369f826b36fc,4.0,1.0,1.0,101,4.9,5.0,5.0,5.0,5.0,4.9,38.0,1.0
112c3c4a-48cc-46f5-b17e-d7c9e939e467,6.0,3.0,1.5,311,4.9,5.0,5.0,4.9,5.0,4.8,50.0,2.0
00c92f42-2049-49d0-a3ff-f214cb08253d,4.0,3.0,1.5,53,4.9,4.9,4.9,4.9,4.9,4.6,38.0,1.0
2f31e30f-9501-473d-833b-2db5a2ec0971,4.0,2.0,2.5,179,5.0,5.0,5.0,4.9,5.0,4.8,30.0,1.0
a516d61c-4380-45f4-9d20-127429769554,2.0,1.0,1.0,188,5.0,5.0,5.0,5.0,5.0,4.8,41.0,1.0
f8ba7756-fc3a-4671-bc72-fdcbd3c7f7aa,2.0,1.0,1.0,66,5.0,4.8,4.9,4.9,4.9,4.8,29.0,1.0
f74db1f8-fc40-4142-97d4-b18a3fec83b3,6.0,6.0,1.0,134,5.0,4.9,4.9,4.8,5.0,4.8,40.0,2.0
8eb77929-5fa8-4610-a44d-0e3d17ff62c3,2.0,1.0,1.5,148,4.7,4.7,4.8,4.8,4.8,4.8,22.0,1.0
b39e789c-599a-4bf2-bc6f-3ecdcab9ca62,2.0,1.0,1.0,224,4.9,4.9,5.0,4.9,5.0,4.8,34.0,1.0
b28245ee-1a6f-4554-9ae1-6575954aa7ee,2.0,1.0,1.0,135,5.0,4.9,5.0,4.9,5.0,4.7,21.0,1.0
a439a9d3-9b61-46aa-b058-35c7bbed0601,2.0,2.0,1.0,138,5.0,4.9,5.0,4.8,5.0,4.8,23.0,1.0
da280834-fbc7-4e01-bbd3-ee1c43bc92fa,2.0,2.0,1.0,161,4.7,4.8,5.0,4.9,4.9,4.7,84.0,1.0
25fea676-0232-437f-93b0-ff08569ecfd6,2.0,1.0,1.0,107,4.9,4.9,4.9,5.0,4.9,4.7,15.0,1.0
93a7f297-f4a7-4b56-a8fe-ff93b98d8206,2.0,1.0,1.0,184,5.0,5.0,5.0,5.0,5.0,4.9,13.0,1.0
d0ba8c50-447e-4c6e-a142-3b884b3b4463,2.0,1.0,1.0,140,4.5,5.0,5.0,4.5,5.0,5.0,10.0,1.0
86be246f-975c-47e3-b01b-575082b5459d,6.0,4.0,1.0,105,4.6,4.8,4.9,4.9,4.9,4.6,36.0,2.0
f4b6049a-8b40-493c-bfa4-f2a8bfc5f233,2.0,1.0,1.0,112,5.0,5.0,5.0,4.9,5.0,4.9,38.0,1.0
6ba80cfb-f6c4-4681-a676-7eecd5b41efd,2.0,1.0,1.0,94,5.0,5.0,5.0,5.0,5.0,5.0,24.0,1.0
da57350f-89be-4f16-8d3e-353c3140816d,4.0,3.0,1.0,61,4.8,4.9,4.9,4.7,4.9,4.8,28.0,2.0
650d0048-d0df-48fa-bbbb-8fa656665841,2.0,1.0,1.0,295,5.0,5.0,5.0,5.0,5.0,4.9,43.0,1.0
d0ef7401-f427-4774-840b-2ee6ba3cd9c6,2.0,1.0,1.0,58,5.0,5.0,5.0,4.9,4.8,4.9,30.0,2.0
28f12753-7968-4156-800d-89aab86159dd,4.0,2.0,1.0,60,4.9,5.0,5.0,4.9,5.0,4.9,45.0,1.0
cb41695c-fa79-4294-b5c9-5b760a936ea3,2.0,1.0,1.0,91,5.0,5.0,5.0,5.0,4.9,4.9,21.0,1.0
7d910a63-8655-4ca2-85b6-567b12ed1d9e,2.0,1.0,1.0,153,5.0,4.9,5.0,4.9,5.0,4.9,35.0,1.0
f1d119c1-afa4-4049-ab40-ff1c50922237,2.0,1.0,1.5,112,4.9,4.9,4.8,4.9,4.9,4.7,69.0,1.0
f85cbd25-a7e9-419f-aa04-d620e2f98e98,3.0,1.0,1.0,170,4.8,4.9,5.0,4.9,5.0,4.7,29.0,1.0
8aae07f3-6f21-4994-9142-3705c2ea7f44,2.0,1.0,1.0,201,5.0,5.0,5.0,5.0,5.0,5.0,24.0,1.0
